match_id,rally_id,stroke_num,player_hitting,player1_pos,player2_pos,player1_x,player1_y,player2_x,player2_y,dist_players,dist_player1_net,dist_player2_net,disp_p1_center_dx,disp_p1_center_dy,disp_p2_center_dx,disp_p2_center_dy,dist_p1_center,dist_p2_center,vel_p1_dx,vel_p1_dy,vel_p2_dx,vel_p2_dy,shuttle_hit_from,shuttle_hit_to,stroke_type,prev_stroke_type,player1_pos_mask,player2_pos_mask,shuttle_hit_from_mask,shuttle_hit_to_mask,player1_x_mask,player1_y_mask,player2_x_mask,player2_y_mask,dist_players_mask,dist_player1_net_mask,dist_player2_net_mask,disp_p1_center_dx_mask,disp_p1_center_dy_mask,disp_p2_center_dx_mask,disp_p2_center_dy_mask,dist_p1_center_mask,dist_p2_center_mask,vel_p1_dx_mask,vel_p1_dy_mask,vel_p2_dx_mask,vel_p2_dy_mask,prev_stroke_type_mask
3,Point1,2,1,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Right-Middle,Net-Lift,Serve,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,Point1,3,2,Center-Back,Right-Middle,2.73,2.008,3.622,10.462,8.501,4.692,3.762,0.14,1.342,1.032,-0.412,1.349,1.111,0.0,0.0,0.0,0.0,Unknown,Center-Back,Dropshot,Net-Lift,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1
3,Point1,4,1,Center-Back,Center-Middle,3.414,0.299,3.334,10.453,10.154,6.401,3.753,-0.824,-3.051,-0.744,0.403,3.16,0.846,-0.518,-1.295,0.218,-0.007,Right-Middle,Center-Middle,Block-Bh,Dropshot,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,Point1,5,2,Left-Back,Center-Middle,3.551,0.744,3.281,10.112,9.372,5.956,3.412,0.961,2.606,0.691,-0.062,2.778,0.694,0.123,-0.401,-0.048,-0.308,Center-Back,Left-Middle,Net-Shot-Bh,Block-Bh,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,Point1,6,1,Left-Middle,Left-Middle,3.572,3.021,3.761,9.638,6.62,3.679,2.938,-0.982,-0.329,-1.171,-0.412,1.036,1.241,-0.019,1.997,-0.421,-0.416,Center-Middle,Right-Front,Net-Shot,Net-Shot-Bh,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,Point1,7,2,Left-Back,Right-Front,4.294,1.045,4.231,7.839,6.794,5.655,1.139,1.704,2.305,1.641,2.211,2.866,2.753,0.502,1.373,0.326,-1.249,Left-Middle,Left-Middle,Net-Lift,Net-Shot,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,Point1,8,1,Left-Middle,Left-Back,3.73,2.351,3.951,12.159,9.81,4.349,5.459,-1.14,-0.999,-1.361,2.109,1.516,2.51,0.303,0.702,0.151,2.322,Right-Front,Right-Back,Smash,Net-Lift,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,Point1,9,2,Right-Middle,Right-Back,1.444,2.966,3.487,11.864,9.13,3.734,5.164,-1.146,0.384,0.897,-1.814,1.209,2.024,-1.621,-0.436,-0.329,-0.209,Left-Middle,Right-Middle,Block,Smash,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,Point1,10,1,Right-Middle,Center-Front,0.971,2.333,1.917,8.598,6.336,4.367,1.898,1.619,-1.017,0.673,-1.452,1.912,1.6,0.464,-0.621,1.539,-3.202,Right-Back,Left-Front,Net-Shot,Block,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,Point1,11,2,Right-Middle,Left-Front,0.624,3.003,0.23,7.554,4.568,3.697,0.854,-1.966,0.347,-2.36,2.496,1.996,3.435,-0.269,-0.519,-1.308,-0.809,Right-Middle,Unknown,Net-Shot,Net-Shot,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
